yingluck won 296 votes in the nearly 500 - member parliament . ||| یینگلاک 296 رای در پارلمان تقریبا 500 عضوی به دست آورد . 
there is a lot more hard work to do in the future for the well - being of our sisters and brothers , the people of thailand , she said last month . ||| او در ماه گذشته گفت که در آینده برای رفاه خواهران و برادران ما، مردم تایلند، کارهای سخت بیشتری وجود دارد . 
more than 90 people were killed and hundreds were injured . ||| بیش از 90 نفر کشته و صدها نفر زخمی شدند . 
government authorities are preparing to evacuate more people all across the municipality . ||| مقامات دولتی در حال آماده شدن برای تخلیه افراد بیشتری از سراسر شهرداری هستند . 
the metropolitan waterworks authority announced that it reduced the amount of tap water processed for residents from 900 , 000 to 400 , 000 cubic meters per day . ||| اداره آبفای کلانشهر اعلام کرد که میزان آب تصفیه شده برای ساکنان را از 900000 به 400000 متر مکعب در روز کاهش داده است . 
at least 21 people were killed in clashes countrywide , including 11 in homs , according to the local coordination committees ( lcc ) of syria , an opposition group that organizes and documents protests in syria . ||| به گفته کمیته هماهنگی محلی سوریه ( lcc ) که یک گروه مخالف سازماندهی و مستندسازی اعتراضات در سوریه است، حداقل 21 نفر در درگیری ها در سراسر کشور کشته شدند، از جمله 11 نفر در حمص . 
four people were killed in hama and one each in hasaka , daraa , idlib , keseh , zabadany and deir ezzor , the lcc said . ||| lcc گفت که چهار نفر در حما و یک نفر در حسکه، درعا، ادلب، کشه، زبدانی و دیرالزور کشته شدند . 
he said he heard jets overhead around 9 : 30 in the morning . ||| او گفت که حدود ساعت 9 : 30 صبح صدای جت ها را شنیده است . 
security forces also cracked down in other syrian cities , the lcc reported . there was heavy presence of troops in parts of idlib and raids in deir ezzor . ||| lcc گزارش داد که نیروهای امنیتی در شهرهای دیگر سوریه نیز سرکوب کردند . حضور شدید نیروها در بخش هایی از ادلب و یورش به دیرالزور وجود داشت . 
armed army defectors ambushed a bus carrying syrian security forces as it traveled between two villages in idlib province , the syrian observatory said . ||| دیده بان سوریه گفت که جداشدگان ارتش مسلح به اتوبوس حامل نیروهای امنیتی سوریه که بین دو روستا در استان ادلب حرکت می کرد کمین کردند . 
also saturday , the sunday telegraph published an interview with embattled syrian president bashar al - assad , which it said was his first with a western journalist since the start of the uprising seven months ago . ||| همچنین روز شنبه، یکشنبه تلگراف مصاحبه ای با بشار اسد، رئیس جمهور درگیر سوریه منتشر کرد که گفت اولین مصاحبه وی با یک روزنامه نگار غربی از زمان آغاز قیام هفت ماه پیش بود . 
syria is the hub now in this region . it is the fault line , and if you play with the ground you will cause an earthquake . do you want to see another afghanistan , or tens of afghanistans ? any problem in syria will burn the whole region . if the plan is to divide syria , that is to divide the whole region , said al - assad , the british newspaper reported . ||| سوریه اکنون مرکز این منطقه است . این خط گسل است و اگر با زمین بازی کنید باعث زلزله می شوید . آیا میخواهی افغانستان دیگری را ببینی یا دهها افغانستان را؟ هر مشکلی در سوریه کل منطقه را می سوزاند . روزنامه بریتانیایی گزارش داد که اگر طرح تجزیه سوریه است، یعنی تقسیم کل منطقه است . 
security forces fatally shot 35 civilians during protests across the nation friday , the syrian observatory for human rights said . ||| دیده بان حقوق بشر سوریه گفت که نیروهای امنیتی 35 غیرنظامی را در جریان تظاهرات روز جمعه در سراسر کشور به ضرب گلوله کشتند . 
at least 100 others were wounded and 500 arrested in several provinces , the group said . ||| این گروه گفت که حداقل 100 نفر دیگر در چندین استان زخمی و 500 نفر دستگیر شدند . 
u.n. secretary - general ban ki - moon condemned friday 's killings . ||| بان کی مون، دبیر کل سازمان ملل، کشتار روز جمعه را محکوم کرد . 
in a statement , qantas pilots slammed the airline 's chief executive for grounding the entire fleet , saying it is unfair to passengers , shareholders and workers . ||| خلبانان قانتاس در بیانیه ای از مدیر اجرایی شرکت هواپیمایی به دلیل زمین گیر کردن کل ناوگان هوایی انتقاد کردند و گفتند که این اقدام برای مسافران، سهامداران و کارگران ناعادلانه است . 
union officials have accused the airline of planning to outsource ground jobs at a cost of thousands of australian jobs , and putting profits first . ||| مقامات اتحادیه این شرکت هواپیمایی را به برنامه ریزی برای برون سپاری مشاغل زمینی با هزینه هزاران شغل استرالیایی و در اولویت قرار دادن سود متهم کرده اند . 
my message to qantas , the employees and trade unions is : australians do want to see this dispute sorted out . ||| پیام من به قانتاس، کارمندان و اتحادیه های کارگری این است : استرالیایی ها می خواهند شاهد حل این اختلاف باشند . 
the grounding will have a daily financial impact of about 20 million australian dollars ( $ 21.4 million ) , qantas said . ||| به گفته قانتاس، زمین‌گذاری تأثیر مالی روزانه حدود 20 میلیون دلار استرالیا ( 21 . 4 میلیون دلار ) خواهد داشت . 
it will offer travelers full refunds or the chance to rebook . however , flights with subsidiaries , including jetstar and qantaslink , are not affected . ||| به مسافران بازپرداخت کامل یا فرصت رزرو مجدد ارائه می دهد . با این حال , پرواز با شرکت های تابعه , از جمله jetstar و qantaslink , تحت تاثیر قرار نمی گیرند . 
qantas , which has its headquarters in sydney , is the second oldest airline in the world , and marked its 90th anniversary last year . ||| قانتاس که دفتر مرکزی آن در سیدنی است، دومین شرکت هواپیمایی قدیمی در جهان است و سال گذشته نودمین سالگرد تاسیس خود را جشن گرفت . 
the air force said the sunday attacks targeted three suspected rocket launching sites and one terror tunnel in northern gaza ; and two terror activity sites in southern gaza . ||| نیروی هوایی گفت که حملات یکشنبه سه سایت مشکوک پرتاب موشک و یک تونل تروریستی را در شمال غزه هدف قرار دادند . و دو سایت فعالیت تروریستی در جنوب غزه . 
the israeli military said more than 20 mortars and rockets were subsequently fired into their territory . ||| ارتش اسرائیل گفت که متعاقباً بیش از 20 خمپاره و راکت به خاک آنها شلیک شد . 
a 55 - year - old man was killed in the rocket attacks and 20 others were injured , according to zaki heler , an emergency services spokesman in israel . ||| به گفته زکی هلر، سخنگوی خدمات اورژانس در اسرائیل، یک مرد 55 ساله در این حملات راکتی کشته و 20 تن دیگر زخمی شدند . 
palestinian medical sources told cnn that two people were killed in a second wave of israeli airstrikes , launched in response to these rocket attacks . ||| منابع پزشکی فلسطینی به سی ان ان گفتند که در موج دوم حملات هوایی اسرائیل که در پاسخ به این حملات راکتی انجام شد، دو نفر کشته شدند . 
two other members of his organization were injured in that attack , he said . witnesses reported that at least 10 other people were wounded . ||| او گفت که دو تن دیگر از اعضای سازمان وی در آن حمله زخمی شدند . شاهدان گزارش دادند که دست کم 10 تن دیگر زخمی شدند . 
local authorities and misrata residents widely accuse tawerghans of having committed serious crimes - including murders and rapes - in misrata with forces loyal to ousted libyan leader moammar gadhafi , human rights watch said . ||| دیده بان حقوق بشر گفت که مقامات محلی و ساکنان مصراته به طور گسترده طورغان را به ارتکاب جنایات جدی - از جمله قتل و تجاوز - در مصراته با نیروهای وفادار به معمر قذافی رهبر برکنار شده لیبی متهم می کنند . 
afghan officials said four afghans , including two students , were also killed . ||| مقامات افغان گفتند که چهار افغان به شمول دو دانش آموز نیز کشته شدند . 
among the dead was master corporal byron greff , a canadian , according to the canadian expeditionary force command . ||| به گفته فرماندهی نیروی اعزامی کانادا، در میان کشته شدگان، استاد سرجوخه بایرون گرف، یک کانادایی بود . 
four afghans , including two students , were also killed , said hashmat stanikzai , spokesman for kabul 's police chief . ||| حشمت استانکزی سخنگوی قوماندان امنیه کابل گفت که چهار افغان به شمول دو دانش آموز نیز کشته شدند . 
afghan president hamid karzai offered his sympathies to the families of the victims in a statement and said the cowardly character of the attack demonstrates the very evil and heinous nature of the enemy . ||| حامد کرزی رئیس جمهور افغانستان در بیانیه ای با خانواده های قربانیان ابراز همدردی کرد و گفت که شخصیت بزدلانه این حمله نشان دهنده ماهیت بسیار شیطانی و شنیع دشمن است . 
a taliban spokesman confirmed saturday 's attack in a text message , saying it killed 16 foreign soldiers , one civilian and injured many others . ||| یک سخنگوی طالبان در پیامی حمله روز شنبه را تایید کرد و گفت که در آن 16 سرباز خارجی، یک غیرنظامی کشته و تعداد زیادی زخمی شدند . 
taliban casualty counts are often inflated ; there was no other reliable indication 16 foreigners were killed . ||| تعداد تلفات طالبان اغلب زیاد است . هیچ نشانه قابل اعتماد دیگری وجود نداشت 16 خارجی کشته شدند . 
to hide the fact that they are losing territory , support , and the will to fight , our common enemy continues to employ suicide attackers to kill innocent afghan fathers , mothers , sons and daughters , as well as the coalition forces who have volunteered to protect them . ||| دشمن مشترک ما برای پنهان کردن این واقعیت که آنها در حال از دست دادن قلمرو، حمایت و اراده برای مبارزه هستند، به استفاده از مهاجمان انتحاری برای کشتن پدران، مادران، پسران و دختران بیگناه افغان و همچنین نیروهای ائتلافی که برای محافظت از آنها داوطلب شده اند، ادامه می دهد . . 
but afghanistan has been hit by a wave of high - profile attacks in recent months that have jeopardized the peace negotiations . ||| اما افغانستان در ماه های اخیر تحت تاثیر موجی از حملات بلندپایه قرار گرفته است که مذاکرات صلح را به خطر انداخته است . 
nearly 2 , 800 troops from the united states and its partners have died during the 10 years of war , according to a cnn count . ||| بر اساس شمارش cnn، نزدیک به 2800 سرباز از ایالات متحده و شرکای آن در طول 10 سال جنگ جان خود را از دست داده اند . 
some of the miners family members waiting at the site periodically erupted in tears as the night unfolded . ||| برخی از اعضای خانواده معدنچیان که در محل منتظر بودند، به طور دوره ای با شروع شب اشک می ریختند . 
mining accidents are not uncommon in china , as few mines follow government safety regulations . ||| حوادث معدن در چین غیر معمول نیست، زیرا تعداد کمی از معادن از مقررات ایمنی دولتی پیروی می کنند . 
the number killed in a huge earthquake that rocked eastern turkey last weekend climbed to 582 saturday , turkish state - run anatolia news agency said , as the government drew up a new law that would move homes from high - risk areas . ||| خبرگزاری آناتولی دولتی ترکیه اعلام کرد که تعداد کشته شدگان در زمین لرزه بزرگی که آخر هفته گذشته ترکیه شرقی را لرزاند به 582 نفر افزایش یافت، زیرا دولت قانون جدیدی را تنظیم می کند که خانه ها را از مناطق پرخطر منتقل می کند . 
atalay said 84 buildings had collapsed in ercis and six in the city of van . search efforts will continue at four apartment buildings in ercis until the end of the day , the agency quoted him as saying . ||| آتالای گفت که 84 ساختمان در جریان حادثه و 6 ساختمان در شهر ون فرو ریخته اند . این آژانس به نقل از او گفت که تلاش های جستجو در چهار ساختمان مسکونی در محاصره تا پایان روز ادامه خواهد داشت . 
relief crews have distributed 40 , 721 tents - including 6 , 088 from abroad - and 159 , 360 blankets to survivors , authorities said . ||| مقامات گفتند که اکیپ های امدادی 40 721 چادر - - از جمله 6 088 چادر از خارج - - و 159 360 پتو بین بازماندگان توزیع کرده اند . 
yein matthew , the government spokesman , said the attacks in mayom were carried out against civilians by militias of the south sudan liberation army . ||| یین متیو، سخنگوی دولت، گفت که حملات در مایوم علیه غیرنظامیان توسط شبه نظامیان ارتش آزادیبخش سودان جنوبی انجام شده است . 
since then , the world 's newest nation has been challenged by a number of rebel militias . ||| از آن زمان، جدیدترین کشور جهان توسط تعدادی از شبه نظامیان شورشی به چالش کشیده شده است . 
the south sudan liberation army , for instance , has said that it is fighting corruption and domination of dinkas , the new nation 's main ethnic group . ||| برای مثال ارتش آزادیبخش سودان جنوبی گفته است که با فساد و سلطه دینکاها، گروه قومی اصلی کشور جدید مبارزه می کند . 
south sudanese president salva kiir has offered amnesty deals to the rebels . ||| سالوا کییر رئیس جمهور سودان جنوبی به شورشیان پیشنهاد عفو داده است . 
several truces have not been honored , according to the enough project , which seeks to end genocide and crimes against humanity . ||| بر اساس پروژه کافی که به دنبال پایان دادن به نسل کشی و جنایات علیه بشریت است، چندین آتش بس رعایت نشده است . 
critics blamed gallagher 's performance in the country 's final televised debate for his collapse in the polls . ||| منتقدان عملکرد گالاگر در آخرین مناظره تلویزیونی کشور را عامل سقوط او در نظرسنجی ها دانستند . 
the long counting process started friday with higgins confirmed as the winner late saturday . ||| روند طولانی شمارش از روز جمعه با تایید هیگینز به عنوان برنده در اواخر شنبه آغاز شد . 
at least 10 people are dead in gaza and southern israel , in a wave of back - and - forth attacks between the israeli military and palestinian militants , according to medical and military officials . ||| به گفته مقامات پزشکی و نظامی، در موجی از حملات پیاپی بین ارتش اسرائیل و شبه نظامیان فلسطینی، حداقل 10 نفر در غزه و جنوب اسرائیل کشته شدند . 
the israel defense forces said that more than 20 mortars and rockets were subsequently fired into their territory . ||| نیروهای دفاعی اسرائیل اعلام کردند که متعاقباً بیش از 20 خمپاره و راکت به خاک آنها شلیک شد . 
a 55 - year - old man was killed in the rocket attacks and 20 others were injured , according to zaki heler , an emergency services spokesman in israel . ||| به گفته زکی هلر، سخنگوی خدمات اورژانس در اسرائیل، یک مرد 55 ساله در این حملات راکتی کشته و 20 تن دیگر زخمی شدند . 
palestinian medical sources told cnn that two people were killed in a second wave of israeli airstrikes , launched in response to these rocket attacks . ||| منابع پزشکی فلسطینی به سی ان ان گفتند که در موج دوم حملات هوایی اسرائیل که در پاسخ به این حملات راکتی انجام شد، دو نفر کشته شدند . 
two other members of his organization were injured in that attack , he said . witnesses reported that at least 10 other people were wounded . ||| او گفت که دو تن دیگر از اعضای سازمان وی در آن حمله زخمی شدند . شاهدان گزارش دادند که دست کم 10 تن دیگر زخمی شدند . 
israeli police spokesman micky rosenfeld said that one of the rockets then fired from gaza into southern israel struck a building in ashdod . ||| میکی روزنفلد، سخنگوی پلیس اسرائیل گفت که یکی از موشک هایی که از غزه به سمت جنوب اسرائیل شلیک شد، به ساختمانی در اشدود اصابت کرد . 
an israel defense forces spokesman said it targeted a terrorist group in southern gaza that was preparing to fire long - range rockets into israel . ||| سخنگوی نیروهای دفاعی اسرائیل گفت که یک گروه تروریستی را در جنوب غزه هدف قرار داد که در حال آماده شدن برای شلیک راکت های دوربرد به سمت اسرائیل بود . 
on saturday , mantega predicted lula would beat cancer . ||| روز شنبه مانتگا پیش بینی کرد که لولا سرطان را شکست خواهد داد . 
he is a fighter , mantega told reporters , adding he expected lula will leave the hospital later saturday . ||| مانتگا به خبرنگاران گفت که او یک مبارز است و افزود که انتظار دارد لولا بعداً شنبه بیمارستان را ترک کند . 
founded in 1921 by syrian and lebanese immigrants , the facility 's staff has also treated paraguay 's president fernando lugo and former brazilian vice president jose alencar , who died in march after a long battle against abdominal cancer . ||| کارکنان این مرکز که در سال 1921 توسط مهاجران سوری و لبنانی تأسیس شد، فرناندو لوگو، رئیس جمهور پاراگوئه و خوزه آلنکار، معاون رئیس جمهور سابق برزیل را نیز درمان کردند که در ماه مارس پس از مبارزه طولانی با سرطان شکم درگذشت . 
i am sure the same thing will happen to president lula . ||| من مطمئن هستم که همین اتفاق برای رئیس جمهور لولا خواهد افتاد . 
as the dust settled after the latest agreement was struck to solve the eurozone debt crisis , french president nicolas sarkozy admitted it had been a mistake to admit the stricken greeks into the monetary union . ||| در حالی که گرد و غبار پس از آخرین توافق برای حل بحران بدهی منطقه یورو فروکش کرد، نیکلاس سارکوزی، رئیس جمهور فرانسه اعتراف کرد که پذیرش یونانی های آسیب دیده در اتحادیه پولی اشتباه بوده است . 
