0	0-0 1-0 2-3 3-3 3-4 2-4 4-2 6-2 7-1 8-1 9-5 10-6 12-7 13-12 14-12 15-13 16-9 17-10 18-11 19-8 21-8 11-6 10-14 11-14 22-15
1	0-9 1-8 2-8 4-0 5-10 6-2 7-1 9-3 11-7 12-7 13-7 15-6 16-6 17-5 18-4 19-5 20-11
2	0-0 1-31 2-31 3-2 4-1 6-1 9-31 10-3 11-3 12-4 13-9 14-9 15-9 16-8 17-8 19-5 20-6 21-10 22-16 23-15 24-15 25-15 26-13 27-13 28-14 29-11 29-12 30-17 31-19 32-18 33-22 34-22 35-22 36-20 37-21 38-23 39-25 39-26 40-30 41-30 42-27 43-26 44-30 46-29 47-28 48-28 49-32
3	0-0 1-5 2-5 3-1 4-3 5-4 6-4 7-2 9-2 10-6 11-7 12-10 13-10 15-8 16-9 18-9 19-9 21-9 22-11 23-12 24-17 25-17 26-17 28-13 29-14 30-15 31-16 32-16 33-18
4	0-0 1-0 2-2 3-2 4-2 5-1 6-2 7-3 8-4 9-5 10-8 11-8 12-6 13-7 14-9
5	0-0 1-1 2-5 3-2 4-3 3-3 5-4 6-2 6-5 7-5 8-6 9-8 10-7 11-8 9-2 12-9 13-12 14-12 15-12 16-12 17-10 17-11 18-12 19-13
6	0-0 1-5 1-6 2-3 2-4 3-3 3-4 4-2 5-1 7-7 8-8 9-9 10-9 11-10 12-12 13-12 14-11 15-11 17-13 18-15 19-14 20-16
7	0-0 1-1 2-2 3-5 4-5 5-4 6-3 7-6 8-7 9-7 10-9 11-9 12-8 13-10
8	0-1 1-1 2-1 3-0 4-2 5-4 6-3 7-3 8-5 9-6 10-7 11-7 12-7 13-7 14-9 15-9 16-8 16-9 17-10
9	0-0 1-1 2-6 3-4 3-5 4-6 5-3 6-2 7-2 8-7 9-8 11-10 12-9 13-9 14-12 14-13 15-11 16-11 17-14
10	0-0 1-1 2-2 3-4 4-29 6-7 7-3 7-6 8-3 9-4 11-7 12-6 13-6 14-6 15-5 16-22 18-22 19-19 19-20 19-21 20-19 20-20 20-21 22-18 23-18 24-17 26-16 28-15 29-16 30-14 31-12 31-13 31-14 30-13 30-12 33-11 35-9 36-11 37-11 38-10 41-28 43-24 44-27 45-27 46-26 27-25 48-25 49-30
11	0-0 1-3 2-4 3-4 4-4 5-2 6-1 7-6 8-5 9-12 10-12 11-9 12-10 13-11 14-8 16-8 18-7 19-7 20-13 21-14 22-16 24-15 25-22 26-21 27-17 28-19 29-19 30-19 32-19 33-18 34-18 35-23
12	0-0 1-8 2-5 3-5 4-1 5-2 5-3 6-4 7-3 8-3 9-7 10-6 10-7 10-8 12-9 13-22 14-10 15-11 15-12 16-13 17-12 18-12 19-21 21-20 22-17 24-17 25-16 26-16 28-15 29-15 30-15 31-15 32-14 33-14 34-23 35-24 36-29 37-29 38-26 39-25 40-27 41-28 42-30
13	0-0 1-1 2-11 3-11 4-2 5-2 7-3 9-10 10-9 11-6 12-8 12-9 13-5 14-4 15-12
14	0-0 1-3 2-1 3-3 4-3 5-2 6-2 7-4 9-5 10-9 11-6 13-6 14-7 15-7 16-7 14-8 15-8 16-8 18-7 19-7 21-10 22-12 23-11 24-11 25-13
15	0-0 1-8 3-3 4-2 5-2 7-1 8-4 10-7 11-5 11-6 13-5 14-9 15-22 16-22 18-20 18-21 19-19 20-19 22-18 23-17 25-11 25-12 26-10 27-10 29-13 31-14 32-15 33-16 34-23
16	0-1 0-2 1-2 2-1 3-0 4-3 5-4 5-5 6-5 7-4 9-6 10-6 11-6 12-7 13-12 13-13 14-8 15-11 16-11 18-10 19-9 20-9 21-9 22-14
