Salomon , Daavidin pojan , Israelin kuninkaan , sananlaskut , ||| שלמה בן דוד מלך ישראל משלי
viisauden ja kurin oppimiseksi , ymmärryksen sanojen ymmärtämiseksi , ||| ללמוד חוכמה ומשמעת , להבין את דברי הבינה , 
taitoa tuovan kurin , vanhurskauden , oikeuden ja vilpittömyyden saamiseksi , ||| להשיג משמעת מיומנת , צדקנות , צדק וכנות , 
ymmärtääkseen sananlaskuja ja vertauksia , viisasten sanoja ja heidän ongelmiansa . ||| להבין פתגמים ומשלים , דברי חכמים ובעיותיהם . 
Kuule , poikani , isäsi kuritusta äläkä hylkää äitisi opetusta , ||| שמע בני , משמעת אביך , ואל תעזוב את תורת אמך . 
heitä arpasi meidän kanssamme , yhteinen kukkaro olkoon meillä kaikilla " - ||| הם הוגרלו איתנו , שיהיה לכולנו ארנק משותף " - 
vaan te vieroksuitte kaikkia minun neuvojani , ette suostuneet minun nuhteisiini , ||| אבל דחית את כל העצות שלי , לא הסכמת לתוכחותי , 
jos haet sitä kuin hopeata ja etsit sitä kuin aarretta , ||| אם תחפש אותו כמו כסף ותחפש אותו כמו אוצר , 
silloin pääset ymmärtämään Herran pelon ja löydät Jumalan tuntemisen . ||| אז תבין את יראת ה' ותמצא את הכרת ה' . 
joiden polut ovat mutkaiset ja jotka joutuvat väärään teillänsä . - ||| שדרכם עקלקלות והולכים בדרכם . - 
Turvaa Herraan kaikesta sydämestäsi äläkä nojaudu omaan ymmärrykseesi . ||| בטח בה' בכל לבבך ואל תישען על הבנתך . 
Älä ole viisas omissa silmissäsi . Pelkää Herraa ja karta pahaa . ||| אל תהיה חכם בעיני עצמך . ירא את ה' והימנע מהרע . 
Se on terveellistä sinun ruumiillesi ja virkistävää sinun luillesi . ||| זה בריא לגוף ומרענן לעצמות . 
Sillä parempi on hankkia sitä kuin hopeata , ja siitä saatu voitto on kultaa jalompi . ||| כי עדיף לרכוש אותו מכסף , והרווח ממנו אצילי מזהב . 
Herra on viisaudella perustanut maan , taivaat taidolla vahvistanut . ||| ה' הקים את הארץ בחוכמה , חיזק את השמים במיומנות . 
Älä mieti pahaa lähimmäistäsi vastaan , kun hän luottavaisesti luonasi asuu . ||| אל תחשוב רע על רעך כשהוא חי איתך בביטחון . 
Kuule , poikani , ja ota sanani varteen , niin elämäsi vuodet enentyvät . ||| שמע בני , וקבל את דברי , ויתרבבו שנות חייך . 
Älä lähde jumalattomien polulle , älä astu pahojen tielle . ||| אל תלך בדרכם של רשעים , אל תכנס לדרך של רשעים . 
Sillä eivät he saa nukkua , elleivät pahaa tee ; se riistää heiltä unen , elleivät ole ketään kaataneet . ||| כי אסור להם לישון אלא אם כן יעשו רע ; זה מונע מהם שינה , אלא אם כן הם הפילו מישהו . 
sillä ne ovat elämä sille , joka ne löytää , ja lääke koko hänen ruumiillensa . ||| כי הם חיים למוצאם ורפואה לכל גופו . 
Poista itsestäsi suun kavaluus , ja karkoita luotasi huulten vääryys . ||| הסר ממך את ערמת הפה , והרחיק ממך את עוון השפתיים . 
Mutta lopulta hän on karvas kuin koiruoho , terävä kuin kaksiteräinen miekka . ||| אבל בסופו של דבר הוא מר כמו לענה , חד כחרב פיפיות . 
ja sanomaan : " Miksi minä kuritusta vihasin ja sydämeni halveksui nuhdetta ? ||| ולומר : " למה שנאתי משמעת ולבי בז לתוכחה ? " 
Olkoon sinun lähteesi siunattu , ja iloitse nuoruutesi vaimosta . ||| יהי מעייןך מבורך , ותשמח באשת נעוריך . 
Pelastaudu käsistä niinkuin gaselli , niinkuin lintu pyydystäjän käsistä . ||| לברוח מהידיים כמו צבי , כמו ציפור מידיו של הלוכד . 
Vaikka sillä ei ole ruhtinasta , ei päällysmiestä eikä hallitsijaa , ||| למרות שאין לו נסיך , אין מפקד , אין שליט , 
Nuku vielä vähän , torku vähän , makaa vähän ristissä käsin , ||| לישון עוד קצת , לנמנם קצת , לשכב עם ידיים שלובות קצת , 
silmää iskee , jaloillaan merkkiä antaa , sormillansa viittoo , ||| קורץ , מסמן ברגליו , קורץ באצבעותיו , 
ylpeitä silmiä , valheellista kieltä , käsiä , jotka vuodattavat viatonta verta , ||| עיניים גאות , לשון משקרת , ידיים השופכות דם תמים , 
Säilytä , poikani , isäsi käsky äläkä hylkää äitisi opetusta . ||| שמור בני את מצוות אביך ואל תעזוב את תורת אמך . 
Sido ne kiinni sormiisi , kirjoita ne sydämesi tauluun . ||| קשר אותם לאצבעותיך , כתוב אותם על לוח הלב שלך . 
Sillä minä katselin taloni ikkunasta ristikon läpi , ||| כי הבטתי מחלון ביתי דרך הסריג , 
milloin hän on kadulla , milloin toreilla , ja väijyy joka kulmassa . ||| לפעמים הוא ברחוב , לפעמים בשווקים , ואורב בכל פינה . 
Vuoteelleni olen pirskoitellut mirhaa , aloeta ja kanelia . ||| פיזרתי מור , אלוורה וקינמון על המיטה שלי . 
Rahakukkaron hän otti mukaansa ja tulee kotiin vasta täydenkuun päiväksi . " ||| הוא לקח איתו את הארנק ולא יחזור הביתה עד יום הירח המלא . " 
Sentähden , poikani , kuulkaa minua , kuunnelkaa minun suuni sanoja . ||| לכן בני , שמע לי , שמע לדברי פי . 
Porttien pielissä , kaupungin portilla , oviaukoissa hän huutaa : ||| מאחורי השערים , בשער העיר , בפתחים , הוא צועק : 
Minulla on neuvo ja neuvokkuus ; minä olen ymmärrys , minulla on voima . ||| יש לי עצות ועצות ; אני מבין , יש לי כוח . 
